Тест: без ошибок 

---------------Протокол-----------------
 ------14.10.21 17:38:56-----
  
 ---- Параметры ---- 

-in: text.txt
-out: out.txt
-log: log.txt


Всего символов: 571

Всего строк: 36

Пропущено: 0
№ | Имя | тип данных | тип индитификатора | первое вхождение
1 | fi | integer | Функция    | 2 | - |
2 | fix | integer | Переманная | 5 | - |
3 | fiy | integer | Переманная | 8 | - |
4 | fiz | integer | Переманная | 17 | - |
5 | * | - | Оператор | 22 | - |
6 | + | - | Оператор | 25 | - |
7 | fs | string | Функция    | 36 | - |
8 | fsa | string | Переманная | 39 | - |
9 | fsb | string | Переманная | 42 | - |
10 | fsc | string | Переманная | 47 | - |
11 | substr | string | Функция    | 52 | - |
12 | substra | string | Переманная | 55 | - |
13 | substrp | integer | Переманная | 58 | - |
14 | substrn | integer | Переманная | 61 | - |
15 | substrc | integer | Переманная | 64 | - |
16 | L1 | integer | Литерал    | 70 | 1 | 
17 | L2 | integer | Литерал    | 72 | 3 | 
18 | + | - | Оператор | 74 | - |
19 | substrb | integer | Переманная | 75 | - |
20 | mainx | integer | Переманная | 86 | - |
21 | mainy | integer | Переманная | 90 | - |
22 | mainz | integer | Переманная | 94 | - |
23 | mainsa | string | Переманная | 98 | - |
24 | mainsb | string | Переманная | 102 | - |
25 | mainsc | string | Переманная | 106 | - |
26 | mainstrlen | integer | Переманная | 110 | - |
27 | mainp | string | Переманная | 113 | - |
28 | L3 | integer | Литерал    | 122 | 5 | 
29 | L4 | string | Литерал    | 126 | [10]1234567890 |
30 | L5 | string | Литерал    | 151 | [22]контрольный     пример |
31 | L6 | integer | Литерал    | 166 | 0 | 
